Week Ending Date,Year,Week,AntigenDetection,VirusIsolation,PCR
8/8/2015,2015,32,2.1,1.8,3.5
8/15/2015,2015,33,1.7,1.7,2.9
8/22/2015,2015,34,1.3,0.5,3.8
8/29/2015,2015,35,1.5,0.9,3.3
9/5/2015,2015,36,0.3,1,3.3
9/12/2015,2015,37,0.5,0.2,2.5
9/19/2015,2015,38,0.9,3.3,2.7
9/26/2015,2015,39,0.5,1.8,3.1
10/3/2015,2015,40,0.7,1.8,3.1
10/10/2015,2015,41,0.6,2.7,3.1
10/17/2015,2015,42,0.3,1.8,3.8
10/24/2015,2015,43,0.7,0.7,3.8
10/31/2015,2015,44,1.4,2.2,3.7
11/7/2015,2015,45,0.5,2.2,3.9
11/14/2015,2015,46,1.4,2,4.5
11/21/2015,2015,47,2.3,3.5,4.9
11/28/2015,2015,48,2.3,3,4.9
12/5/2015,2015,49,1.6,2.2,4.8
12/12/2015,2015,50,1.6,2.2,4.9
12/19/2015,2015,51,2.3,2.1,5.4
12/26/2015,2015,52,2.7,2.8,5.4
1/2/2016,2016,1,3,3.1,5.2
1/9/2016,2016,2,2.9,4.3,4.6
1/16/2016,2016,3,1.4,2.7,3.9
1/23/2016,2016,4,2,2.2,4.8
1/30/2016,2016,5,2.5,2.2,4.5
2/6/2016,2016,6,2.5,2.1,4.5
2/13/2016,2016,7,1.7,1.6,3.7
2/20/2016,2016,8,2.4,3.6,3.8
2/27/2016,2016,9,2,1.7,3.5
3/5/2016,2016,10,1.8,1.6,3.4
3/12/2016,2016,11,2.1,2,3.6
3/19/2016,2016,12,1.5,1.7,3.7
3/26/2016,2016,13,1.9,1.7,4.2
4/2/2016,2016,14,2.4,1.8,3.9
4/9/2016,2016,15,1.6,2.8,3.9
4/16/2016,2016,16,1.8,2.4,3.9
4/23/2016,2016,17,2.6,2.1,3.9
4/30/2016,2016,18,1.6,1.2,3.8
5/7/2016,2016,19,0.8,1.1,4.1
5/14/2016,2016,20,1.9,1.7,4.5
5/21/2016,2016,21,1.5,2.4,4.7
5/28/2016,2016,22,1.6,0.8,4.5
6/4/2016,2016,23,1.6,2.4,5.2
6/11/2016,2016,24,2.9,1.5,4.5
6/18/2016,2016,25,1.5,0.5,4.9
6/25/2016,2016,26,1.2,0.5,4
7/2/2016,2016,27,1.6,1.8,3.8
7/9/2016,2016,28,0.5,1.9,4
7/16/2016,2016,29,1,0,3.6
7/23/2016,2016,30,3.2,0.4,3.3
7/30/2016,2016,31,1.1,0.6,3
