Date,Year,Week,AntigenDetection,PCR
8/29/2015,2015,35,2,0.2
9/5/2015,2015,36,0,0.4
9/12/2015,2015,37,0,0.3
9/19/2015,2015,38,0,0.3
9/26/2015,2015,39,0,0.2
10/3/2015,2015,40,0,0.3
10/10/2015,2015,41,0,0.4
10/17/2015,2015,42,0,0.4
10/24/2015,2015,43,0,0.5
10/31/2015,2015,44,0,0.5
11/7/2015,2015,45,0,0.7
11/14/2015,2015,46,2.3,0.8
11/21/2015,2015,47,0,1
11/28/2015,2015,48,0,1.8
12/5/2015,2015,49,3.6,1.9
12/12/2015,2015,50,2.9,1.9
12/19/2015,2015,51,2.4,2.5
12/26/2015,2015,52,5.1,3.6
1/2/2016,2016,1,1.9,4.7
1/9/2016,2016,2,3.8,4.2
1/16/2016,2016,3,4.1,5.2
1/23/2016,2016,4,3.6,5.8
1/30/2016,2016,5,5.1,7.4
2/6/2016,2016,6,9,7.8
2/13/2016,2016,7,10.5,8.5
2/20/2016,2016,8,9.2,10
2/27/2016,2016,9,11.8,9.6
3/5/2016,2016,10,13.1,9.9
3/12/2016,2016,11,12.2,9.1
3/19/2016,2016,12,9.7,9.9
3/26/2016,2016,13,7.8,8.1
4/2/2016,2016,14,7.1,8.2
4/9/2016,2016,15,3.8,7.9
4/16/2016,2016,16,3.1,6.5
4/23/2016,2016,17,7.5,4.5
4/30/2016,2016,18,3.9,4.9
5/7/2016,2016,19,1.5,3.7
5/14/2016,2016,20,1.4,2.9
5/21/2016,2016,21,0,2.6
5/28/2016,2016,22,5.4,2.2
6/4/2016,2016,23,0,1.8
6/11/2016,2016,24,5.4,1.1
6/18/2016,2016,25,0,0.9
6/25/2016,2016,26,0,0.5
7/2/2016,2016,27,0,0.2
7/9/2016,2016,28,0,0.9
7/16/2016,2016,29,0,0.7
7/23/2016,2016,30,0,0.6
7/30/2016,2016,31,0,0.6
8/6/2016,2016,32,0,0.3
8/13/2016,2016,33,0,0.3
8/20/2016,2016,34,0,0.2
